번호,대분류,중분류,소분류,제목,동영상주소,운동장소구분,
121,운동처방전,유소년 운동처방,민첩성,[유소년] 십(十)자 달리기 민첩성 향상 프로그램,https://youtu.be/k7nYGwru9qo,실외운동,
122,운동처방전,유소년 운동처방,민첩성,[유소년] 반복 옆 뛰기 민첩성 향상 프로그램,https://youtu.be/4gw_K966RAM,실외운동,
123,운동처방전,유소년 운동처방,민첩성,[유소년] 의자 잡고 반복 옆 뛰기 민첩성 향상 프로그램,https://youtu.be/hOgaVdOSwdw,실외운동,
124,운동처방전,유소년 운동처방,협응력,[유소년] 양 손 번갈아 공 튕기기 협응력 향상 프로그램,https://youtu.be/vffvCksMUfg,실외운동,
125,운동처방전,유소년 운동처방,협응력,[유소년] 공 위로 던지고 제자리 돌아 받기 협응력 향상 프로그램,https://youtu.be/m-ISbQftC2E,실외운동,
126,운동처방전,유소년 운동처방,협응력,[유소년] 십(十)자 드리블 협응력 향상 프로그램,https://youtu.be/byRsrO8qhpg,실외운동,
127,운동처방전,유소년 운동처방,협응력,[유소년] 무릎-허리 높이로 공 튕기기 협응력 향상 프로그램,https://youtu.be/z4ROS7dj1fA,실외운동,
128,운동처방전,유소년 운동처방,협응력,[유소년] 라켓으로 공치며 앞으로 가기 협응력 향상 프로그램,https://youtu.be/S8MFxWv9wg4,실외운동,
129,운동처방전,유소년 운동처방,협응력,[유소년] 훌라후프 하며 앞으로 가기 협응력 향상 프로그램,https://youtu.be/LVgDNxRug0E,실외운동,
130,운동처방전,유소년 운동처방,협응력,[유소년] 공 양 손으로 주고 받기 협응력 향상 프로그램,https://youtu.be/wpRYvVFM-HA,실외운동,
131,운동처방전,유소년 운동처방,협응력,[유소년] 벽 패스 협응력 향상 프로그램,https://youtu.be/beu4oIY1vjE,실외운동,
132,운동처방전,유소년 운동처방,협응력,[유소년] 훌라후프로 공 끌고 가기 협응력 향상 프로그램,https://youtu.be/83Y-Fp_lbf4,실외운동,
133,운동처방전,유소년 운동처방,협응력,[유소년] 공 던져 색깔 맞추기 협응력 향상 프로그램,https://youtu.be/54fLPATKj50,실외운동,
134,운동처방전,유소년 운동처방,협응력,[유소년] 계이름 치기 협응력 향상 프로그램,https://youtu.be/RBkj5eAk8N0,실내운동,애매
135,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 테이블에 팔 앞으로 뻗기,https://youtu.be/oPwT6mBN4sE,실내운동,
136,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 테이블에 엎드려 팔 뒤로 올리기,https://youtu.be/d8oicWOpW8s,실내운동,
137,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 테이블에 엎드려 팔 45˚ 벌려 들기,https://youtu.be/enWc5OFuP0s,실내운동,
138,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨1단계]누워서막대기들어올리기,https://youtu.be/1X3g_xXFxUE,실내운동,
139,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 등 뒤로 막대기 옆으로 밀기,https://youtu.be/t9FckiwWxtM,실내운동,
140,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 몸 앞에서 막대기 옆으로 밀기,https://youtu.be/WHAr1-A_1fs,실내운동,
141,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 수건을 이용한 팔 뒤로 올리기,https://youtu.be/pJGuqnje5Yo,실내운동,
142,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 벽을 이용한 팔 옆으로 올리기,https://youtu.be/YGP1Qs9bhw4,실내운동,
143,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 벽에서 팔굽혀펴기 후 벽 밀기,https://youtu.be/ESIj2DwPqeo,실내운동,
144,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 1단계] 벽에서 짐볼 대고 원 그리기,https://youtu.be/XAr0m5RUdfI,실내운동,
145,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 네발기기 자세에서 짐볼로 어깨늘리기,https://youtu.be/w57JM9yd514,실내운동,
146,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 짐볼로 양팔 뻗어 어깨 스트레칭,https://youtu.be/qnI9g89iBAE,실내운동,
147,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 짐볼로 한 팔 뻗어 어깨 스트레칭,https://youtu.be/V0m3cOW0qm8,실내운동,
148,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 양발 앞뒤로 뻗어 짐볼 굴리기,https://youtu.be/HGK3fgCrgkA,실내운동,
149,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드 잡고 팔 옆으로 뻗기,https://youtu.be/B0YX1qIXMCo,실내운동,
150,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드 잡고 머리 위로 팔돌리기,https://youtu.be/OicYQ2iyaRM,실내운동,
151,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드 잡고 만세하여 삼각형 만들기,https://youtu.be/CcAfS2kTJnw,실내운동,
152,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드 당겨 올리기,https://youtu.be/WLIPn8k1NI4,실내운동,
153,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 팔다리로 밴드 늘려 옆으로 걷기,https://youtu.be/03DdfZ_V_Hk,실내운동,
154,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드잡고 팔 뒤로 뻗기,https://youtu.be/7U0ryionr3A,실내운동,
155,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 엎드려 팔꿈치 들어올리기,https://youtu.be/WuHmIr1z7so,실내운동,
156,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 엎드려 팔꿈치 들어올리고 손 띄우기,https://youtu.be/tbLxHyistws,실내운동,
157,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 엎드려 양팔 뻗어 등 조이고 뒷짐지기,https://youtu.be/UQ7z9TdvIfk,실내운동,
158,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 손머리 뒤로하고 뒷짐지기,https://youtu.be/Xx9BPWlejoI,실내운동,
159,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 팔 벌리고 뒷짐진 후 만세하기,https://youtu.be/-EIBoVl1cyg,실내운동,
160,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 접시돌리기,https://youtu.be/gXIKJtdMvdE,실내운동,
161,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 케틀벨 들고 원 그리기,https://youtu.be/2m_hkC-L4w4,실내운동,
162,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 케틀벨 들어올리기,https://youtu.be/p9-UD4jSi4s,실내운동,
163,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 옆으로 앉아 엉덩이 들어 원그리기,https://youtu.be/-7brIvxp930,실내운동,
164,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 케틀벨 들어올리고 옆으로 팔 뻗기,https://youtu.be/Jawzqd6W3e4,실내운동,
165,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 상체숙여 팔 구부리고 어깨 돌리기,https://youtu.be/DYMtM0D6zyM,실내운동,
166,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 벽 모퉁이 가슴 스트레칭,https://youtu.be/0ScAV5zVnE0,실내운동,
167,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 팔 앞으로/옆으로 들기,https://youtu.be/10AmMSkGRxg,실내운동,
168,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 팔 구부려 어깨 돌리기,https://youtu.be/7YaYV2FRi-k,실내운동,
169,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[어깨 2단계] 밴드잡고 대각선 옆으로 양팔 들기,https://youtu.be/8E1tkdp9hwY,실내운동,
170,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 네발기기 자세로 허리 들어주기,https://youtu.be/h_6ED2iaNaY,실내운동,
171,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 한다리 뒤로 뻗어 발잡기,https://youtu.be/NJIyVeoFUkI,실내운동,
172,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 4자 다리 끌어안기,https://youtu.be/6YUXa_pHhsM,실내운동,
173,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 엎드려 팔뻗어 상체 들어올리기,https://youtu.be/g8F4108b36g,실내운동,
174,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 팔다리 반대로 뻗어 스트레칭,https://youtu.be/mopXauVQfio,실내운동,
175,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 누워서 다리 들고 좌우로 움직이기,https://youtu.be/P-X29BD2K-c,실내운동,
176,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 네발기기 자세로 팔 다리 교차 들기,https://youtu.be/ZqY-BWOfavs,실내운동,
177,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 짐볼 브릿지,https://youtu.be/k7qfWdREYyA,실내운동,
178,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 짐볼 리버스 브릿지,https://youtu.be/4cFynRuIWhY,실내운동,
179,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 짐볼 한다리 브릿지,https://youtu.be/g_a_Br5cVmw,실내운동,
180,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 짐볼 누르기,https://youtu.be/DfrNSg99oF0,실내운동,
181,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 한다리 뻗어 짐볼 누르기,https://youtu.be/E05IcTyOhpo,실내운동,
182,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 무릎 터치 플랭크,https://youtu.be/TuaWGla24cA,실내운동,
183,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 스쿼트 자세에서 미니밴드 엉덩이 운동,https://youtu.be/ntnWD4Ml0gc,실내운동,
184,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 1단계] 막대기를 이용하여 몸통 회전하기,https://youtu.be/aE0nSMm_1Sc,실내운동,
185,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 옆으로 앉아 짐볼 밀기,https://youtu.be/4JeRn6iRv2M,실내운동,
186,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 짐볼 위에 눕기,https://youtu.be/yrvrk2DCvRk,실내운동,
187,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 짐볼 잡고 다리 뒤로 뻗기,https://youtu.be/yUIyE5kK3wA,실내운동,
188,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 플랭크(엎드려 버티기),https://youtu.be/i_TtjVYn9fQ,실내운동,
189,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 짐볼 플랭크,https://youtu.be/cAiGavivKEY,실내운동,
190,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 짐볼 한다리 플랭크,https://youtu.be/9wPBwGZ6_6o,실내운동,
191,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 다리 옆으로 뻗고 끌어오기,https://youtu.be/MBRgj2_g9yc,실내운동,
192,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 앉아서 미니밴드 엉덩이 운동,https://youtu.be/qmsuBvU840M,실내운동,
193,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 미니밴드 옆으로 걷기,https://youtu.be/2vevXGJOKOg,실내운동,
194,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 미니밴드 옆으로 다리 뻗기,https://youtu.be/4n1fPw1mcAo,실내운동,
195,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 브릿지 다리끌기,https://youtu.be/9fn1nCUAo1I,실내운동,
196,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 플랭크 무릎 끌어올리기,https://youtu.be/wEfum_4pk7A,실내운동,
197,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 밴드 양팔(앞으로) 뻗기,https://youtu.be/zCfmCErNAdA,실내운동,
198,운동처방전,근·골격계 건강을 위한 운동,근·골격계,허리 2단계] 밴드 양팔(앞으로) 뻗어 다리 바꾸기,https://youtu.be/F6bwrdnVgRI,실내운동,
199,운동처방전,근·골격계 건강을 위한 운동,근·골격계,허리 2단계] 한 다리로 서서 밴드 양팔(앞으로) 뻗기,https://youtu.be/aTBKTc5zDxg,실내운동,
200,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 막대기를 이용하여 앉아 몸통 회전하기,https://youtu.be/RIbud7uCTDw,실내운동,
201,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 막대기를 이용하여 전신 회전하기,https://youtu.be/KRuiV-F4-9o,실내운동,
202,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 막대기를 이용하여(스쿼트자세로) 한팔 위로 뻗기,https://youtu.be/nYryI39814A,실내운동,
203,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 밴드잡고 팔다리 교차하기,https://youtu.be/pnJ-5znGQ84,실내운동,
204,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 케틀벨들고 밴드잡고 팔다리 교차하기,https://youtu.be/W3N6jkd-N9k,실내운동,
205,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 엎드려 팔 다리 들기,https://youtu.be/rG_BF9l8ZtM,실내운동,
206,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 상체변화 플랭크,https://youtu.be/1kmZAVibXg8,실내운동,
207,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 양발 앞뒤로 뻗어 한 팔 위로 상체 비틀기,https://youtu.be/0aV5sJbkSCs,실내운동,
208,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[허리 2단계] 뒤로 땅 짚고 엉덩이 들어올리기,https://youtu.be/NytHCtpDpUs,실내운동,
209,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 다리 들어올리기,https://youtu.be/all5pu1gnGE,실내운동,
210,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 옆으로 누워 다리 들어올리기,https://youtu.be/qLaJIBGDV18,실내운동,
211,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 옆으로 누워 안쪽다리 올리기,https://youtu.be/l-AqRVz3BJw,실내운동,
212,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 한 다리 들고 원 그리기,https://youtu.be/VPf5vbkt3Hw,실내운동,
213,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 브릿지 후 뒤꿈치 들기,https://youtu.be/S2czTQVHfUc,실내운동,
214,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 네발기기 자세로 뒷발차기,https://youtu.be/_070D1dByHs,실내운동,
215,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 런지,https://youtu.be/SEvt-t1Iu_s,실내운동,
216,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 스쿼트 유지하기,https://youtu.be/XCqge_uWQPo,실내운동,
217,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 양발 앞뒤로 뻗어 니킥,https://youtu.be/uVmtqY19SSI,실내운동,
218,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 니킥하고 옆으로 다리들기,https://youtu.be/qJO32patgXE,실내운동,
219,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 리버스 런지 후 다리올리기,https://youtu.be/BQqtuZn1T2c,실내운동,
220,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 사이드 런지 후 제기차기,https://youtu.be/3X4CiOX0hoI,실내운동,
221,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 무릎대고 앉았다 일어나기,https://youtu.be/2rgTtCyoTWM,실내운동,
222,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 더킹 런지(Ducking lunge),https://youtu.be/a1lzn6_V5a0,실내운동,
223,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 1단계] 스쿼트 후 뒤꿈치 들기,https://youtu.be/70k_8vO2s7I,실내운동,
224,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 다리 뒤로 뻗은 후 니킥,https://youtu.be/pRz8d3qepJQ,실내운동,
225,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 스쿼트 후 사이드 크런치,https://youtu.be/EvCBmy0cBfQ,실내운동,
226,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 스쿼트 후 옆으로 다리들기,https://youtu.be/50JBTJXp5_0,실내운동,
227,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 한발 뒤로 차고 점프,https://youtu.be/fcjBXyVETxY,실외운동,애매
228,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 사이드 런지 후 점프,https://youtu.be/gw88_oXy6fk,실외운동,애매
229,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 몸통 비틀어 다리 들어올리기,https://youtu.be/pziEkUaxRWQ,실내운동,
230,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 발 바꿔 계단뛰기,https://youtu.be/uHIIc35SAuI,실외운동,애매
231,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 점프하며 팔다리 앞으로 교차하기,https://youtu.be/NQkyVEeqHLw,실외운동,애매
232,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 엉덩이 들어올려 다리 벌리기,https://youtu.be/5lnyl11vq2I,실내운동,
233,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 옆으로 누워 미니볼 들어올리기,https://youtu.be/sDngb073b8k,실내운동,
234,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 다리 앞으로 당겼다가 뒤로 차기,https://youtu.be/2E6CT7GYstg,실내운동,
235,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 스쿼트 후 뒤꿈치 들고 다리 옆으로 차기,https://youtu.be/74t2DyCUkt0,실내운동,
236,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 대각선 뒤로 앉았다 일어나며 다리 옆으로 들기,https://youtu.be/Puuce3TLAgk,실내운동,
237,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 한 다리 힙 쓰러스트(등 대고 누워 다리 구부려 올렸다 내리기),https://youtu.be/pvUZS24KHdg,실내운동,
238,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 내회전 스쿼트(앉아서 한 쪽씩 교차로 무릎 안쪽으로 내렸다 올라오기),https://youtu.be/rx4hh6UTyVM,실내운동,
239,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 리버스 플랭크 터치(앉아서 엉덩이 들고 손 발 닿기),https://youtu.be/KbuZww79fyU,실내운동,
240,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 로우 런지 킥백(한쪽 다리 뒤로 뻗어 쪼그려 앚았다가 일어나면서 뒤로 차기),https://youtu.be/OOXZvBz9Zbk,실내운동,
241,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 싱글레그 햄스트링 컬(누워서 한 발 짐볼에 올려 엉덩이 들고 무릎 구부리기),https://youtu.be/L91j0OBcHZ8,실내운동,
242,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 플랭크 로테이션(회전 플랭크/팔굽혀펴기 자세에서 팔다리 교차하여 들고 골반 회전시키기),https://youtu.be/QbtwunyTygg,실내운동,
243,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 공중 런지(에어본 런지/한 발로 앉았다 일어나며 무릎 당기기),https://youtu.be/rJaEWl8fwAk,실외운동,실내
244,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 앞뒤로 다리 벌려 앉아 몸통 회전하기,https://youtu.be/hN21Ucw7zqg,실내운동,
245,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 옆으로 누워 무릎 벌리기,https://youtu.be/djdQ5zFA7MY,실내운동,
246,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 의자에 앉아 두 다리 들어올리기,https://youtu.be/O6uDBAFp6bo,실내운동,
247,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 의자에 앉아 다리 뻗기,https://youtu.be/J_4tk10nZY0,실내운동,
248,운동처방전,근·골격계 건강을 위한 운동,근·골격계,[무릎 2단계] 의자에 앉았다 일어서기,https://youtu.be/mz9So3gEgH4,실내운동,
