성별,연령,산책,걷기,등산,헬스,축구,수영,자전거,배드민턴,요가,골프,농구,줄넘기_훌라후프,스포츠 경기관람,당구,탁구,야구,에어로빅,족구,테니스,댄스스포츠,볼링,체조,게이트볼,태권도,육상,마라톤,산악자전거,승마,수중스포츠,스쿼시,춤_무용,격투기,스노우보드,암벽등반,검도,배구,인라인스케이트,스키,스킨스쿠버,권투,그라운드골프,서바이벌,유도,라켓볼,웨이크보드,스케이팅,패러글라이딩,수상스키,피겨스케이팅,미식축구,무도
남,10대,1.84,2.1,1.05,2.36,38.85,2.1,5.77,5.51,0.0,0.79,16.01,3.94,1.57,0.26,1.84,3.15,0.0,2.1,0.0,0.0,0.26,0.26,0.0,5.51,0.26,0.0,0.0,0.26,0.0,0.0,0.79,1.31,0.26,0.0,0.26,0.26,0.26,0.0,0.0,0.26,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26
남,20대,3.76,6.34,8.69,20.42,14.55,3.05,8.69,1.64,1.17,0.47,6.1,1.41,3.99,4.69,1.17,2.82,0.0,0.94,0.7,0.0,1.17,0.23,0.0,0.23,0.7,0.0,0.94,0.7,0.0,0.94,0.0,0.23,0.94,0.23,0.7,0.23,0.0,0.7,0.23,0.0,0.0,0.47,0.23,0.0,0.23,0.0,0.0,0.23,0.0,0.0,0.0
남,30대,11.13,8.61,15.13,15.13,9.24,4.2,5.46,3.36,0.0,2.73,1.68,0.84,3.78,4.41,0.0,3.36,0.0,0.63,1.89,0.21,1.26,0.0,0.0,0.21,0.63,1.26,1.68,0.63,0.0,0.21,0.0,0.0,0.42,0.21,0.21,0.0,0.42,0.21,0.0,0.21,0.0,0.0,0.0,0.21,0.21,0.0,0.21,0.0,0.0,0.0,0.0
남,40대,12.52,13.76,28.04,6.53,7.05,2.12,4.94,6.7,0.0,5.47,0.18,0.0,2.12,1.23,1.41,0.71,0.0,1.59,1.06,0.18,1.41,0.53,0.0,0.18,1.23,0.35,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0
남,50대,13.83,18.6,34.18,5.25,1.91,3.5,4.13,3.02,0.0,4.13,0.0,0.0,0.32,0.79,1.59,0.48,0.0,1.91,0.95,0.16,0.64,0.48,0.32,0.0,0.32,1.27,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.48,0.0,0.32,0.0,0.16,0.16,0.0,0.48,0.0,0.0,0.0,0.0,0.0
남,60대,27.0,25.7,28.31,2.78,0.49,0.0,7.69,0.82,0.16,0.65,0.0,0.49,0.0,0.0,0.65,0.0,0.0,0.33,1.15,0.0,0.0,0.49,1.47,0.16,0.33,0.49,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남,70대이상,46.03,22.63,14.89,2.13,0.77,0.39,4.06,0.0,0.0,0.77,0.0,0.0,0.77,0.19,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.19,5.22,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,10대,18.83,16.88,0.0,4.55,1.95,1.95,3.25,9.74,3.25,0.0,5.19,18.18,0.65,0.0,0.0,0.65,0.0,0.0,0.0,3.25,0.0,3.25,0.0,3.9,2.6,0.0,0.0,1.3,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,20대,14.29,19.05,5.19,18.18,0.0,8.66,1.3,3.9,11.26,0.43,0.43,4.33,1.3,0.0,0.43,0.0,2.6,0.0,1.73,1.73,1.3,1.3,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.43,0.43,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,30대,21.87,20.62,12.19,10.0,0.0,8.44,1.87,1.56,12.5,0.0,0.31,1.56,0.0,0.0,0.94,0.0,3.75,0.0,0.31,1.56,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,40대,25.49,24.9,19.37,5.53,0.0,5.73,1.58,4.15,4.35,0.99,0.0,0.59,0.0,0.2,1.38,0.0,1.58,0.0,0.2,1.38,0.4,0.79,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,50대,28.18,28.87,19.07,3.95,0.0,5.33,3.09,1.03,1.89,0.69,0.0,0.52,0.0,0.0,1.2,0.34,1.03,0.0,0.52,1.55,0.34,1.03,0.0,0.0,0.0,0.17,0.0,0.0,0.52,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,60대,34.55,34.9,10.82,3.66,0.0,6.98,1.57,0.35,1.05,0.87,0.0,0.52,0.0,0.0,0.17,0.0,1.05,0.0,0.0,0.52,0.0,0.35,0.7,0.0,0.0,0.52,0.0,0.52,0.52,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여,70대이상,48.08,32.05,5.13,0.64,0.0,2.99,0.0,1.07,1.92,0.0,0.0,0.21,0.0,0.0,0.21,0.0,1.28,0.21,0.0,0.0,0.0,1.28,3.63,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
